"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","593.34","587.45","602.54","581.59","","1.10%"
"06/01/2025","586.86","588.79","594.19","573.62","","-0.69%"
"05/01/2025","590.91","566.33","595.25","565.12","","5.04%"
"04/01/2025","562.54","558.47","563.01","485.39","","1.17%"
"03/01/2025","556.03","573.18","580.98","553.29","","-2.99%"
"02/01/2025","573.16","554.00","578.32","548.96","","2.53%"
"01/01/2025","559.04","534.21","560.81","523.33","","5.39%"
"12/01/2024","530.47","536.31","550.66","521.78","","-1.17%"
"11/01/2024","536.76","527.81","542.92","522.10","","1.76%"
"10/01/2024","527.48","550.81","553.18","525.44","","-4.13%"
"09/01/2024","550.23","542.94","557.48","528.18","","1.29%"
"08/01/2024","543.20","538.61","544.69","498.42","","0.75%"
"07/01/2024","539.18","527.06","544.61","521.39","","2.86%"
"06/01/2024","524.17","548.06","550.81","523.25","","-3.89%"
"05/01/2024","545.39","526.44","554.60","525.17","","3.59%"
"04/01/2024","526.48","533.89","536.73","516.02","","-1.36%"
"03/01/2024","533.74","514.50","534.37","510.57","","3.94%"
"02/01/2024","513.53","511.28","518.38","501.45","","0.15%"
"01/01/2024","512.75","519.74","523.06","495.40","","-1.18%"
"12/01/2023","518.86","495.59","522.16","495.59","","4.83%"
"11/01/2023","494.95","456.76","496.38","454.82","","8.57%"
"10/01/2023","455.87","476.95","479.74","445.46","","-4.30%"
"09/01/2023","476.36","492.21","495.90","468.05","","-3.28%"
"08/01/2023","492.52","507.71","507.71","476.31","","-3.05%"
"07/01/2023","507.99","488.51","511.78","473.65","","3.96%"
"06/01/2023","488.65","483.42","500.35","474.87","","1.15%"
"05/01/2023","483.08","502.07","503.48","482.32","","-3.81%"
"04/01/2023","502.21","495.44","505.47","486.85","","1.39%"
"03/01/2023","495.33","508.08","513.80","463.14","","-2.61%"
"02/01/2023","508.58","501.58","515.41","499.55","","1.46%"
"01/01/2023","501.25","462.58","506.12","462.58","","8.62%"
"12/01/2022","461.46","475.26","485.23","455.08","","-2.39%"
"11/01/2022","472.74","442.82","479.58","433.58","","7.19%"
"10/01/2022","441.04","412.57","443.08","402.73","","6.44%"
"09/01/2022","414.37","457.19","474.86","402.77","","-9.61%"
"08/01/2022","458.42","491.01","500.48","458.41","","-6.72%"
"07/01/2022","491.44","452.87","492.15","447.02","","8.07%"
"06/01/2022","454.76","506.64","509.72","450.65","","-10.13%"
"05/01/2022","506.03","515.32","516.75","476.88","","-2.23%"
"04/01/2022","517.57","530.66","540.32","503.25","","-2.32%"
"03/01/2022","529.88","531.93","541.98","466.63","","-0.48%"
"02/01/2022","532.44","560.13","570.15","509.60","","-4.54%"
"01/01/2022","557.75","588.20","597.85","541.61","","-5.23%"
"12/01/2021","588.51","562.09","589.81","553.87","","5.00%"
"11/01/2021","560.47","581.09","596.81","557.39","","-3.48%"
"10/01/2021","580.66","563.33","585.29","556.06","","2.28%"
"09/01/2021","567.69","590.11","596.12","563.89","","-3.62%"
"08/01/2021","589.04","581.49","596.42","580.30","","1.50%"
"07/01/2021","580.33","567.06","584.19","553.17","","2.53%"
"06/01/2021","566.00","563.53","576.78","558.53","","0.60%"
"05/01/2021","562.60","551.41","565.06","540.65","","2.06%"
"04/01/2021","551.26","545.23","564.80","545.23","","1.17%"
"03/01/2021","544.87","519.29","548.88","518.14","","5.85%"
"02/01/2021","514.77","501.29","532.56","501.29","","3.06%"
"01/01/2021","499.47","505.44","520.72","492.75","","-0.94%"
"12/01/2020","504.20","485.43","508.22","478.78","","4.05%"
"11/01/2020","484.57","420.45","490.48","417.34","","15.39%"
"10/01/2020","419.93","436.82","455.89","414.39","","-3.65%"
"09/01/2020","435.86","442.29","450.06","420.97","","-1.29%"
"08/01/2020","441.54","425.54","452.97","423.28","","3.79%"
"07/01/2020","425.43","427.98","451.94","422.91","","-0.44%"
"06/01/2020","427.30","428.94","453.38","410.13","","1.68%"
"05/01/2020","420.23","396.30","425.49","380.73","","4.38%"
"04/01/2020","402.60","364.87","413.34","353.18","","8.93%"
"03/01/2020","369.58","461.58","472.95","316.20","","-19.23%"
"02/01/2020","457.57","501.51","529.39","451.60","","-8.65%"
"01/01/2020","500.89","509.43","517.84","500.69","","-1.60%"
"12/01/2019","509.06","495.77","513.57","483.63","","2.66%"
"11/01/2019","495.88","480.94","499.36","480.94","","3.25%"
"10/01/2019","480.27","468.55","483.12","449.80","","2.51%"
"09/01/2019","468.53","452.73","471.50","448.88","","3.57%"
"08/01/2019","452.40","460.18","463.25","427.53","","-1.83%"
"07/01/2019","460.82","462.18","474.12","459.11","","-0.10%"
"06/01/2019","461.26","446.77","465.21","442.12","","3.13%"
"05/01/2019","447.24","478.32","478.32","443.41","","-6.69%"
"04/01/2019","479.33","463.70","483.21","463.70","","3.61%"
"03/01/2019","462.64","460.87","472.80","454.07","","0.55%"
"02/01/2019","460.13","444.60","461.73","439.92","","3.63%"
"01/01/2019","444.02","411.05","449.08","405.79","","8.28%"
"12/01/2018","410.07","440.71","446.71","400.90","","-6.20%"
"11/01/2018","437.18","451.00","462.75","429.34","","-2.96%"
"10/01/2018","450.50","483.84","486.75","431.70","","-6.88%"
"09/01/2018","483.80","487.85","490.27","475.75","","-0.94%"
"08/01/2018","488.40","495.74","496.64","480.76","","-1.40%"
"07/01/2018","495.35","481.75","496.58","478.12","","2.49%"
"06/01/2018","483.31","488.23","503.61","477.70","","-1.05%"
"05/01/2018","488.42","481.15","501.31","480.98","","1.52%"
"04/01/2018","481.09","462.24","482.08","455.66","","3.75%"
"03/01/2018","463.68","471.37","477.58","453.91","","-1.78%"
"02/01/2018","472.08","486.04","489.10","454.29","","-2.54%"
"01/01/2018","484.40","476.07","494.51","473.88","","1.74%"
"12/01/2017","476.13","471.15","477.32","465.91","","0.97%"
"11/01/2017","471.54","482.23","485.09","461.42","","-1.71%"
"10/01/2017","479.74","468.34","480.41","467.85","","2.50%"
"09/01/2017","468.06","452.30","468.06","449.56","","3.59%"
"08/01/2017","451.84","453.31","459.06","441.84","","-0.20%"
"07/01/2017","452.74","450.70","462.45","449.38","","0.54%"
"06/01/2017","450.29","464.88","471.27","448.60","","-3.27%"
"05/01/2017","465.53","460.66","472.14","457.30","","1.01%"
"04/01/2017","460.89","448.90","461.41","443.55","","2.95%"
"03/01/2017","447.70","433.96","448.26","433.51","","3.44%"
"02/01/2017","432.81","423.97","439.16","423.97","","2.30%"
"01/01/2017","423.08","419.50","431.44","418.99","","0.90%"
"12/01/2016","419.30","401.10","419.91","395.87","","4.52%"
"11/01/2016","401.15","397.00","402.00","379.49","","1.32%"
"10/01/2016","395.92","400.97","406.75","389.67","","-1.47%"
"09/01/2016","401.81","401.02","410.48","393.31","","0.38%"
"08/01/2016","400.27","397.99","404.42","387.58","","0.71%"
"07/01/2016","397.43","377.92","399.48","360.47","","5.34%"
"06/01/2016","377.30","407.39","409.23","351.29","","-7.52%"
"05/01/2016","408.00","401.54","410.36","388.84","","1.55%"
"04/01/2016","401.79","394.93","408.19","382.64","","1.27%"
"03/01/2016","396.74","385.85","401.23","382.49","","2.76%"
"02/01/2016","386.08","394.05","395.48","348.21","","-1.67%"
"01/01/2016","392.64","422.60","422.60","367.41","","-7.63%"
"12/01/2015","425.07","441.81","443.55","406.53","","-3.62%"
"11/01/2015","441.03","423.24","441.03","415.37","","3.86%"
"10/01/2015","424.62","397.13","426.27","391.63","","7.45%"
"09/01/2015","395.19","405.03","415.02","383.05","","-3.01%"
"08/01/2015","407.44","436.22","444.16","375.53","","-6.36%"
"07/01/2015","435.11","421.74","445.90","406.70","","3.63%"
"06/01/2015","419.87","439.50","442.11","413.78","","-4.18%"
"05/01/2015","438.20","429.79","446.98","413.64","","1.75%"
"04/01/2015","430.65","428.79","451.43","427.09","","0.22%"
"03/01/2015","429.69","425.03","437.40","417.94","","1.06%"
"02/01/2015","425.17","393.87","425.63","390.66","","7.92%"
"01/01/2015","393.96","367.29","400.06","355.66","","7.58%"
"12/01/2014","366.20","364.68","371.33","340.54","","0.11%"
"11/01/2014","365.81","354.20","367.87","348.96","","3.34%"
"10/01/2014","354.00","356.91","357.91","314.21","","-0.87%"
"09/01/2014","357.10","361.89","367.39","351.73","","-1.21%"
"08/01/2014","361.46","356.06","364.79","338.48","","1.48%"
"07/01/2014","356.18","364.96","371.32","353.76","","-2.28%"
"06/01/2014","364.49","367.97","375.29","360.85","","-0.80%"
"05/01/2014","367.43","360.75","367.92","353.61","","1.92%"
"04/01/2014","360.50","360.97","365.99","345.41","","0.14%"
"03/01/2014","360.01","360.07","365.65","344.88","","-0.87%"
"02/01/2014","363.16","342.87","363.16","335.36","","5.85%"
"01/01/2014","343.08","344.10","355.72","338.76","","-0.11%"
"12/01/2013","343.46","338.51","343.55","323.16","","1.56%"
"11/01/2013","338.18","335.58","340.90","330.97","","0.81%"
"10/01/2013","335.47","323.25","335.47","316.96","","3.86%"
"09/01/2013","323.01","312.48","330.48","312.48","","3.94%"
"08/01/2013","310.76","309.60","322.06","308.48","","0.61%"
"07/01/2013","308.89","292.09","310.21","290.59","","6.20%"
"06/01/2013","290.85","304.55","305.73","281.92","","-4.68%"
"05/01/2013","305.13","300.67","312.65","297.97","","1.50%"
"04/01/2013","300.61","299.30","302.64","287.76","","0.53%"
"03/01/2013","299.04","295.53","302.72","293.00","","1.12%"
"02/01/2013","295.74","286.38","295.74","285.48","","3.12%"
"01/01/2013","286.78","283.38","291.00","283.38","","1.87%"
"12/01/2012","281.52","275.73","284.33","275.29","","2.13%"
"11/01/2012","275.65","270.22","276.89","261.98","","1.98%"
"10/01/2012","270.29","269.17","275.69","265.44","","0.37%"
"09/01/2012","269.29","262.46","276.62","260.95","","2.41%"
"08/01/2012","262.95","258.04","269.71","254.44","","1.93%"
"07/01/2012","257.98","249.13","260.85","247.19","","3.76%"
"06/01/2012","248.62","240.00","248.80","232.21","","3.85%"
"05/01/2012","239.41","260.88","264.19","237.43","","-8.28%"
"04/01/2012","261.02","266.85","270.71","252.80","","-2.00%"
"03/01/2012","266.36","264.25","272.96","255.91","","0.67%"
"02/01/2012","264.58","251.13","266.24","234.97","","5.53%"
"01/01/2012","250.72","235.97","254.77","235.97","","6.23%"
"12/01/2011","236.01","233.27","237.25","221.71","","1.08%"
"11/01/2011","233.49","236.23","239.86","210.85","","-2.25%"
"10/01/2011","238.87","221.24","247.01","210.04","","7.03%"
"09/01/2011","223.19","240.23","240.66","209.76","","-7.00%"
"08/01/2011","240.00","267.76","269.63","214.71","","-9.78%"
"07/01/2011","266.02","276.78","281.24","263.04","","-3.80%"
"06/01/2011","276.54","288.08","288.40","265.60","","-4.12%"
"05/01/2011","288.41","290.64","292.31","280.37","","-0.52%"
"04/01/2011","289.92","284.46","289.92","278.05","","2.01%"
"03/01/2011","284.20","292.46","295.23","268.22","","-2.76%"
"02/01/2011","292.26","286.14","297.04","283.00","","2.15%"
"01/01/2011","286.10","284.70","294.89","283.42","","0.67%"
"12/01/2010","284.21","268.25","288.68","268.25","","6.23%"
"11/01/2010","267.55","267.98","275.93","265.54","","0.10%"
"10/01/2010","267.29","261.31","270.73","258.27","","2.41%"
"09/01/2010","261.01","247.83","265.32","246.57","","5.66%"
"08/01/2010","247.03","254.42","261.28","240.89","","-2.44%"
"07/01/2010","253.22","238.78","257.47","233.33","","5.39%"
"06/01/2010","240.27","240.33","257.80","234.54","","-0.20%"
"05/01/2010","240.75","256.28","258.79","224.61","","-6.13%"
"04/01/2010","256.48","256.07","266.34","249.71","","0.53%"
"03/01/2010","255.14","234.62","257.69","233.88","","9.10%"
"02/01/2010","233.85","234.56","240.78","223.42","","-0.57%"
"01/01/2010","235.19","236.82","247.49","232.76","","-0.37%"
"12/01/2009","236.07","223.85","236.56","223.85","","5.90%"
"11/01/2009","222.92","220.15","236.83","215.74","","1.12%"
"10/01/2009","220.45","228.87","237.48","217.98","","-3.61%"
"09/01/2009","228.71","220.11","233.89","212.03","","3.98%"
"08/01/2009","219.96","206.96","223.19","206.90","","6.55%"
"07/01/2009","206.43","189.72","207.28","179.76","","8.85%"
"06/01/2009","189.65","192.82","198.45","181.93","","-0.95%"
"05/01/2009","191.46","182.63","197.39","180.24","","5.30%"
"04/01/2009","181.83","155.88","183.02","153.26","","16.85%"
"03/01/2009","155.61","153.29","158.68","139.70","","1.24%"
"02/01/2009","153.71","165.96","175.56","150.70","","-7.68%"
"01/01/2009","166.50","168.34","182.91","156.52","","-0.24%"
"12/01/2008","166.90","173.54","173.62","159.76","","-3.93%"
"11/01/2008","173.73","184.22","197.47","153.74","","-5.58%"
"10/01/2008","183.99","224.17","265.68","158.26","","-17.80%"
"09/01/2008","223.82","259.75","264.37","213.27","","-14.07%"
"08/01/2008","260.48","250.42","263.91","245.32","","3.94%"
"07/01/2008","250.60","263.21","263.21","233.78","","-4.86%"
"06/01/2008","263.41","294.81","295.24","259.33","","-10.69%"
"05/01/2008","294.95","290.73","304.04","287.89","","1.65%"
"04/01/2008","290.17","274.91","291.47","273.97","","5.51%"
"03/01/2008","275.01","283.56","284.16","259.60","","-3.41%"
"02/01/2008","284.71","282.84","296.44","274.79","","0.71%"
"01/01/2008","282.70","318.15","320.01","257.50","","-11.39%"
"12/01/2007","319.04","326.06","330.36","312.16","","-2.07%"
"11/01/2007","325.79","350.70","351.59","304.23","","-7.11%"
"10/01/2007","350.71","338.41","355.58","337.34","","3.63%"
"09/01/2007","338.44","349.25","352.09","324.83","","-2.98%"
"08/01/2007","348.83","353.23","354.52","320.18","","-1.86%"
"07/01/2007","355.44","366.59","376.04","346.84","","-3.23%"
"06/01/2007","367.30","375.99","379.00","356.25","","-2.26%"
"05/01/2007","375.80","366.59","377.52","364.15","","2.48%"
"04/01/2007","366.71","357.71","370.01","356.31","","2.56%"
"03/01/2007","357.56","344.04","359.64","330.72","","3.93%"
"02/01/2007","344.04","351.51","362.23","338.52","","-1.90%"
"01/01/2007","350.72","343.95","354.16","341.89","","2.05%"
"12/01/2006","343.67","328.58","344.04","326.43","","4.75%"
"11/01/2006","328.09","324.65","335.90","322.95","","1.10%"
"10/01/2006","324.51","312.11","326.67","309.73","","4.08%"
"09/01/2006","311.78","300.82","312.96","296.03","","3.65%"
"08/01/2006","300.79","291.51","301.49","286.54","","3.23%"
"07/01/2006","291.39","287.45","292.81","275.08","","1.39%"
"06/01/2006","287.39","286.34","291.64","266.16","","0.34%"
"05/01/2006","286.41","304.42","314.16","274.65","","-5.80%"
"04/01/2006","304.03","300.73","308.86","297.91","","0.95%"
"03/01/2006","301.18","291.13","303.22","287.13","","3.48%"
"02/01/2006","291.06","282.21","294.28","281.23","","3.19%"
"01/01/2006","282.05","269.08","282.94","269.08","","4.82%"
"12/01/2005","269.08","258.02","269.95","258.02","","4.38%"
"11/01/2005","257.80","246.08","260.31","245.81","","4.71%"
"10/01/2005","246.20","255.75","257.51","238.29","","-3.70%"
"09/01/2005","255.65","246.51","255.79","246.51","","3.78%"
"08/01/2005","246.33","243.61","248.20","243.48","","1.08%"
"07/01/2005","243.70","235.83","244.47","229.30","","3.30%"
"06/01/2005","235.91","227.49","238.25","227.47","","3.77%"
"05/01/2005","227.33","215.85","228.13","215.85","","5.37%"
"04/01/2005","215.75","224.08","229.31","214.14","","-3.67%"
"03/01/2005","223.98","226.00","228.52","221.12","","-0.85%"
"02/01/2005","225.90","217.62","226.26","217.32","","3.73%"
"01/01/2005","217.77","209.95","217.78","209.94","","3.84%"
"12/01/2004","209.72","203.77","209.92","203.61","","2.91%"
"11/01/2004","203.78","195.43","205.14","195.43","","4.13%"
"10/01/2004","195.70","194.15","199.14","193.22","","0.83%"
"09/01/2004","194.09","189.80","195.63","189.80","","2.27%"
"08/01/2004","189.78","190.30","190.90","182.99","","-0.21%"
"07/01/2004","190.18","195.41","196.30","186.76","","-2.58%"
"06/01/2004","195.22","190.62","195.78","189.09","","2.49%"
"05/01/2004","190.47","191.50","193.25","181.35","","-0.44%"
"04/01/2004","191.32","190.76","198.42","190.76","","0.41%"